Gene symbol	Gene name	Transcript	Exons in transcript	CDS length
DDR2	discoidin domain receptor tyrosine kinase 2	NM_006182.4	18	2568
DDRGK1	DDRGK domain containing 1	NM_023935.3	9	945
DDT	D-dopachrome tautomerase	NM_001084392.3	3	357
DDTL	D-dopachrome tautomerase like	NM_001084393.2	3	405
DDX1	DEAD-box helicase 1	NM_004939.3	26	2223
DDX10	DEAD-box helicase 10	NM_004398.4	18	2628
DDX11	DEAD/H-box helicase 11	NM_030653.4	27	2721
DDX17	DEAD-box helicase 17	NM_001098504.2	13	2196
DDX18	DEAD-box helicase 18	NM_006773.4	14	2013
DDX19A	DEAD-box helicase 19A	NM_018332.5	12	1437
DDX19B	DEAD-box helicase 19B	NM_007242.7	12	1440
DDX20	DEAD-box helicase 20	NM_007204.5	11	2475
DDX21	DExD-box helicase 21	NM_004728.4	15	2352
DDX23	DEAD-box helicase 23	NM_004818.3	17	2463
DDX24	DEAD-box helicase 24	NM_020414.4	9	2580
DDX25	DEAD-box helicase 25	NM_013264.5	12	1452
DDX27	DEAD-box helicase 27	NM_017895.8	21	2298
DDX28	DEAD-box helicase 28	NM_018380.4	1	1623
DDX31	DEAD-box helicase 31	NM_022779.9	20	2241
DDX39A	DExD-box helicase 39A	NM_005804.4	11	1284
DDX39B	DExD-box helicase 39B	NM_004640.7	11	1287
DDX3X	DEAD-box helicase 3 X-linked	NM_001193416.3	17	1986
DDX3Y	DEAD-box helicase 3 Y-linked	NM_001122665.3	18	1983
DDX4	DEAD-box helicase 4	NM_024415.3	22	2175
DDX41	DEAD-box helicase 41	NM_016222.4	17	1869
DDX42	DEAD-box helicase 42	NM_007372.3	19	2817
DDX43	DEAD-box helicase 43	NM_018665.3	17	1947
DDX46	DEAD-box helicase 46	NM_014829.4	23	3096
DDX47	DEAD-box helicase 47	NM_016355.4	12	1368
DDX49	DEAD-box helicase 49	NM_019070.5	13	1452
DDX5	DEAD-box helicase 5	NM_004396.5	13	1845
DDX50	DExD-box helicase 50	NM_024045.2	15	2214
DDX51	DEAD-box helicase 51	NM_175066.4	15	2001
DDX52	DExD-box helicase 52	NM_007010.5	15	1800
DDX53	DEAD-box helicase 53	NM_182699.4	1	1896
DDX54	DEAD-box helicase 54	NM_001111322.2	20	2649
DDX55	DEAD-box helicase 55	NM_020936.3	14	1803
DDX56	DEAD-box helicase 56	NM_019082.4	14	1644
DDX59	DEAD-box helicase 59	NM_001031725.6	8	1860
DDX6	DEAD-box helicase 6	NM_004397.6	14	1452
DDX60	DExD/H-box helicase 60	NM_017631.6	38	5139
DDX60L	DExD/H-box 60 like	NM_001345927.2	38	5124
DEAF1	DEAF1 transcription factor	NM_021008.4	12	1698
DECR1	2,4-dienoyl-CoA reductase 1	NM_001359.2	10	1008
DECR2	2,4-dienoyl-CoA reductase 2	NM_020664.4	9	879
DEDD	death effector domain containing	NM_001330765.2	6	1047
DEDD2	death effector domain containing 2	NM_001270614.2	5	981
DEF6	DEF6 guanine nucleotide exchange factor	NM_022047.4	11	1896
DEF8	differentially expressed in FDCP 8 homolog	NM_207514.3	13	1539
DEFA1	defensin alpha 1	NM_004084.4	3	285
DEFA1B	defensin alpha 1B	NM_001302265.2	4	306
DEFA3	defensin alpha 3	NM_005217.4	3	285
DEFA4	defensin alpha 4	NM_001925.3	3	294
DEFA5	defensin alpha 5	NM_021010.3	2	285
DEFA6	defensin alpha 6	NM_001926.4	2	303
DEFB1	defensin beta 1	NM_005218.4	2	207
DEFB103A	defensin beta 103A	NM_001081551.4	2	204
DEFB103B	defensin beta 103B	NM_018661.4	2	204
DEFB104A	defensin beta 104A	NM_080389.3	2	219
DEFB104B	defensin beta 104B	NM_001040702.1	2	219
DEFB105A	defensin beta 105A	NM_152250.3	3	237
DEFB105B	defensin beta 105B	NM_001040703.3	3	237
DEFB106A	defensin beta 106A	NM_152251.4	2	198
DEFB106B	defensin beta 106B	NM_001040704.2	2	198
DEFB107A	defensin beta 107A	NM_001037668.1	2	213
DEFB107B	defensin beta 107B	NM_001040705.2	2	213
DEFB108B	defensin beta 108B	NM_001002035.2	2	222
DEFB109B	defensin beta 109B	NM_001037380.2	2	264
DEFB110	defensin beta 110	NM_001037497.2	2	204
DEFB112	defensin beta 112	NM_001369057.2	2	285
DEFB113	defensin beta 113	NM_001037729.1	2	249
DEFB114	defensin beta 114	NM_001037499.2	2	210
DEFB115	defensin beta 115	NM_001037730.1	2	267
DEFB116	defensin beta 116	NM_001037731.1	2	309
DEFB118	defensin beta 118	NM_054112.3	2	372
DEFB119	defensin beta 119	NM_153323.5	2	267
DEFB121	defensin beta 121	NM_001011878.3	2	231
DEFB123	defensin beta 123	NM_153324.4	2	204
DEFB124	defensin beta 124	NM_001037500.2	3	216
DEFB125	defensin beta 125	NM_153325.4	2	471
DEFB126	defensin beta 126	NM_030931.4	2	336
DEFB127	defensin beta 127	NM_139074.4	2	300
DEFB128	defensin beta 128	NM_001037732.3	2	282
DEFB129	defensin beta 129	NM_080831.4	2	552
DEFB130A	defensin beta 130A	NM_001037804.1	2	240
DEFB130B	defensin beta 130B	NM_001195257.1	2	240
DEFB131A	defensin beta 131A	NM_001040448.3	2	213
DEFB131B	defensin beta 131B	NM_001242853.1	2	213
DEFB132	defensin beta 132	NM_207469.3	2	288
DEFB134	defensin beta 134	NM_001302695.2	3	201
DEFB135	defensin beta 135	NM_001033017.3	2	234
DEFB136	defensin beta 136	NM_001033018.2	2	237
DEFB4A	defensin beta 4A	NM_004942.4	2	195
DEFB4B	defensin beta 4B	NM_001205266.2	2	195
DEGS1	delta 4-desaturase, sphingolipid 1	NM_003676.4	3	972
DEGS2	delta 4-desaturase, sphingolipid 2	NM_206918.3	3	972
DEK	DEK proto-oncogene	NM_003472.4	11	1128
DELE1	DAP3 binding cell death enhancer 1	NM_001142603.3	13	1548
DENND10	DENN domain containing 10	NM_207009.4	9	1074
DENND11	DENN domain containing 11	NM_001080392.2	9	1368
DENND1A	DENN domain containing 1A	NM_020946.2	22	3030
DENND1B	DENN domain containing 1B	NM_001195215.2	23	2328
DENND1C	DENN domain containing 1C	NM_024898.4	23	2406
DENND2A	DENN domain containing 2A	NM_015689.5	20	3030
DENND2B	DENN domain containing 2B	NM_005418.4	23	3414
DENND2C	DENN domain containing 2C	NM_001256404.2	21	2787
DENND2D	DENN domain containing 2D	NM_024901.5	12	1416
DENND3	DENN domain containing 3	NM_014957.5	23	3636
DENND4A	DENN domain containing 4A	NM_001144823.2	33	5721
DENND4B	DENN domain containing 4B	NM_014856.3	28	4491
DENND4C	DENN domain containing 4C	NM_001330640.2	33	5877
DENND5A	DENN domain containing 5A	NM_015213.4	23	3864
DENND5B	DENN domain containing 5B	NM_144973.4	21	3825
DENND6A	DENN domain containing 6A	NM_152678.3	20	1827
DENND6B	DENN domain containing 6B	NM_001001794.4	20	1758
DENR	density regulated re-initiation and release factor	NM_003677.5	8	597
DEPDC1	DEP domain containing 1	NM_001114120.3	12	2436
DEPDC1B	DEP domain containing 1B	NM_018369.3	11	1590
DEPDC4	DEP domain containing 4	NM_001319311.2	11	1530
DEPDC5	DEP domain containing 5, GATOR1 subcomplex subunit	NM_001242896.3	43	4812
DEPDC7	DEP domain containing 7	NM_001077242.2	9	1536
DEPP1	DEPP autophagy regulator 1	NM_007021.4	2	639
DEPTOR	DEP domain containing MTOR interacting protein	NM_022783.4	9	1230
DERA	deoxyribose-phosphate aldolase	NM_015954.4	9	957
DERL1	derlin 1	NM_024295.6	8	756
DERL2	derlin 2	NM_016041.5	7	720
DERL3	derlin 3	NM_001135751.2	7	720
DERPC	DERPC proline and glycine rich nuclear protein	NM_001002847.4	3	1575
DES	desmin	NM_001927.4	9	1413
DESI1	desumoylating isopeptidase 1	NM_015704.3	6	507
DESI2	desumoylating isopeptidase 2	NM_016076.5	5	585
DET1	DET1 partner of COP1 E3 ubiquitin ligase	NM_017996.5	6	1686
DEUP1	deuterosome assembly protein 1	NM_181645.4	14	1815
DEXI	Dexi homolog	NM_014015.4	2	288
DFFA	DNA fragmentation factor subunit alpha	NM_004401.3	6	996
DFFB	DNA fragmentation factor subunit beta	NM_001282669.2	7	1089
DGAT1	diacylglycerol O-acyltransferase 1	NM_012079.6	17	1467
DGAT2	diacylglycerol O-acyltransferase 2	NM_032564.5	8	1167
DGAT2L6	diacylglycerol O-acyltransferase 2 like 6	NM_198512.3	7	1014
DGCR2	DiGeorge syndrome critical region gene 2	NM_005137.3	10	1653
DGCR6	DiGeorge syndrome critical region gene 6	NM_005675.6	5	663
DGCR6L	DiGeorge syndrome critical region gene 6 like	NM_033257.4	5	663
DGCR8	DGCR8 microprocessor complex subunit	NM_022720.7	14	2322
DGKA	diacylglycerol kinase alpha	NM_201445.2	25	2208
DGKB	diacylglycerol kinase beta	NM_001350708.1	26	2412
DGKD	diacylglycerol kinase delta	NM_152879.3	30	3645
DGKE	diacylglycerol kinase epsilon	NM_003647.3	12	1704
DGKG	diacylglycerol kinase gamma	NM_001346.3	25	2376
DGKH	diacylglycerol kinase eta	NM_152910.6	29	3495
DGKI	diacylglycerol kinase iota	NM_004717.3	34	3198
DGKK	diacylglycerol kinase kappa	NM_001013742.4	28	3815
DGKQ	diacylglycerol kinase theta	NM_001347.4	23	2829
DGKZ	diacylglycerol kinase zeta	NM_001105540.2	32	3354
DGLUCY	D-glutamate cyclase	NM_001102368.3	14	1866
DGUOK	deoxyguanosine kinase	NM_080916.3	7	834
DHCR24	24-dehydrocholesterol reductase	NM_014762.4	9	1551
DHCR7	7-dehydrocholesterol reductase	NM_001360.3	9	1428
DHDDS	dehydrodolichyl diphosphate synthase subunit	NM_024887.4	9	1005
DHDH	dihydrodiol dehydrogenase	NM_014475.4	7	1005
DHFR	dihydrofolate reductase	NM_000791.4	6	564
DHFR2	dihydrofolate reductase 2	NM_001195643.2	2	564
DHH	desert hedgehog signaling molecule	NM_021044.4	3	1191
DHODH	dihydroorotate dehydrogenase (quinone)	NM_001361.5	9	1188
DHPS	deoxyhypusine synthase	NM_001930.4	9	1110
DHRS1	dehydrogenase/reductase 1	NM_001136050.3	9	942
DHRS11	dehydrogenase/reductase 11	NM_024308.4	7	783
DHRS12	dehydrogenase/reductase 12	NM_001270424.1	10	954
DHRS13	dehydrogenase/reductase 13	NM_144683.4	5	1134
DHRS2	dehydrogenase/reductase 2	NM_182908.5	9	903
DHRS3	dehydrogenase/reductase 3	NM_004753.7	6	909
DHRS4	dehydrogenase/reductase 4	NM_021004.4	8	837
DHRS4L2	dehydrogenase/reductase 4 like 2	NM_198083.4	8	699
DHRS7	dehydrogenase/reductase 7	NM_016029.4	7	1020
DHRS7B	dehydrogenase/reductase 7B	NM_015510.5	7	978
DHRS7C	dehydrogenase/reductase 7C	NM_001220493.2	6	939
DHRS9	dehydrogenase/reductase 9	NM_001289763.2	5	1140
DHRSX	dehydrogenase/reductase X-linked	NM_145177.3	7	993
DHTKD1	dehydrogenase E1 and transketolase domain containing 1	NM_018706.7	17	2760
DHX15	DEAH-box helicase 15	NM_001358.3	14	2388
DHX16	DEAH-box helicase 16	NM_003587.5	20	3126
DHX29	DExH-box helicase 29	NM_019030.4	27	4110
DHX30	DExH-box helicase 30	NM_138615.3	22	3585
DHX32	DEAH-box helicase 32 (putative)	NM_018180.3	11	2232
DHX33	DEAH-box helicase 33	NM_020162.4	12	2124
DHX34	DExH-box helicase 34	NM_014681.6	17	3432
DHX35	DEAH-box helicase 35	NM_021931.4	22	2112
DHX36	DEAH-box helicase 36	NM_020865.3	25	3027
DHX37	DEAH-box helicase 37	NM_032656.4	27	3474
DHX38	DEAH-box helicase 38	NM_014003.4	27	3684
DHX40	DEAH-box helicase 40	NM_024612.5	18	2340
DHX57	DExH-box helicase 57	NM_198963.3	24	4161
DHX58	DExH-box helicase 58	NM_024119.3	14	2037
DHX8	DEAH-box helicase 8	NM_004941.3	23	3663
DHX9	DExH-box helicase 9	NM_001357.5	28	3813
DIABLO	diablo IAP-binding mitochondrial protein	NM_019887.6	7	720
DIAPH1	diaphanous related formin 1	NM_005219.5	28	3819
DIAPH2	diaphanous related formin 2	NM_006729.5	27	3306
DIAPH3	diaphanous related formin 3	NM_001042517.2	28	3582
DICER1	dicer 1, ribonuclease III	NM_177438.3	27	5769
DIDO1	death inducer-obliterator 1	NM_001193369.2	16	6723
DIMT1	DIM1 rRNA methyltransferase and ribosome maturation factor	NM_014473.4	12	942
DIO1	iodothyronine deiodinase 1	NM_000792.7	4	750
DIO2	iodothyronine deiodinase 2	NM_013989.5	2	822
DIO3	iodothyronine deiodinase 3	NM_001362.3	1	915
DIP2A	disco interacting protein 2 homolog A	NM_015151.4	38	4716
DIP2B	disco interacting protein 2 homolog B	NM_173602.3	38	4731
DIP2C	disco interacting protein 2 homolog C	NM_014974.3	37	4671
DIPK1A	divergent protein kinase domain 1A	NM_001006605.5	5	1287
DIPK1B	divergent protein kinase domain 1B	NM_152421.4	5	1296
DIPK1C	divergent protein kinase domain 1C	NM_001044369.3	4	1260
DIPK2A	divergent protein kinase domain 2A	NM_173552.5	3	1293
DIPK2B	divergent protein kinase domain 2B	NM_176819.4	5	1302
DIRAS1	DIRAS family GTPase 1	NM_145173.4	2	597
DIRAS2	DIRAS family GTPase 2	NM_017594.5	2	600
DIRAS3	DIRAS family GTPase 3	NM_004675.5	2	690
DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	NM_014953.5	21	2877
DIS3L	DIS3 like exosome 3'-5' exoribonuclease	NM_001143688.3	17	3165
DIS3L2	DIS3 like 3'-5' exoribonuclease 2	NM_152383.5	21	2658
DISC1	DISC1 scaffold protein	NM_018662.3	13	2565
DISP1	dispatched RND transporter family member 1	NM_032890.5	10	4575
DISP2	dispatched RND transporter family member 2	NM_033510.3	8	4206
DISP3	dispatched RND transporter family member 3	NM_020780.2	21	4179
DIXDC1	DIX domain containing 1	NM_001037954.4	20	2051
DKC1	dyskerin pseudouridine synthase 1	NM_001363.5	15	1545
DKK1	dickkopf WNT signaling pathway inhibitor 1	NM_012242.4	4	801
DKK2	dickkopf WNT signaling pathway inhibitor 2	NM_014421.3	4	780
DKK3	dickkopf WNT signaling pathway inhibitor 3	NM_015881.6	8	1053
DKK4	dickkopf WNT signaling pathway inhibitor 4	NM_014420.3	4	675
DKKL1	dickkopf like acrosomal protein 1	NM_014419.4	5	729
DLAT	dihydrolipoamide S-acetyltransferase	NM_001931.5	14	1944
DLC1	DLC1 Rho GTPase activating protein	NM_182643.3	18	4587
DLD	dihydrolipoamide dehydrogenase	NM_000108.5	14	1530
DLEC1	DLEC1 cilia and flagella associated protein	NM_007337.4	36	5337
DLEU7	deleted in lymphocytic leukemia 7	NM_001306135.2	2	666
DLG1	discs large MAGUK scaffold protein 1	NM_001098424.1	26	2715
DLG2	discs large MAGUK scaffold protein 2	NM_001142699.3	28	2928
DLG3	discs large MAGUK scaffold protein 3	NM_021120.4	19	2454
DLG4	discs large MAGUK scaffold protein 4	NM_001365.4	22	2304
DLG5	discs large MAGUK scaffold protein 5	NM_004747.4	32	5760
DLGAP1	DLG associated protein 1	NM_004746.4	13	2934
DLGAP2	DLG associated protein 2	NM_001346810.2	15	3168
DLGAP3	DLG associated protein 3	NM_001080418.3	12	2940
DLGAP4	DLG associated protein 4	NM_014902.6	13	2970
DLGAP5	DLG associated protein 5	NM_014750.5	19	2541
DLK1	delta like non-canonical Notch ligand 1	NM_003836.7	5	1152
DLK2	delta like non-canonical Notch ligand 2	NM_023932.4	6	1152
DLL1	delta like canonical Notch ligand 1	NM_005618.4	11	2172
DLL3	delta like canonical Notch ligand 3	NM_016941.4	8	1857
DLL4	delta like canonical Notch ligand 4	NM_019074.4	11	2058
DLST	dihydrolipoamide S-succinyltransferase	NM_001933.5	15	1362
DLX1	distal-less homeobox 1	NM_178120.5	3	768
DLX2	distal-less homeobox 2	NM_004405.4	3	987
DLX3	distal-less homeobox 3	NM_005220.3	3	864
DLX4	distal-less homeobox 4	NM_138281.3	3	723
DLX5	distal-less homeobox 5	NM_005221.6	3	870
DLX6	distal-less homeobox 6	NM_005222.4	3	882
DMAC1	distal membrane arm assembly component 1	NM_001318059.2	2	390
DMAC2	distal membrane arm assembly component 2	NM_018035.3	6	774
DMAC2L	distal membrane arm assembly component 2 like	NM_001003803.3	5	603
DMAP1	DNA methyltransferase 1 associated protein 1	NM_019100.5	10	1404
DMBT1	deleted in malignant brain tumors 1	NM_007329.3	53	7242
DMBX1	diencephalon/mesencephalon homeobox 1	NM_147192.4	6	1149
DMC1	DNA meiotic recombinase 1	NM_007068.4	14	1023
DMD	dystrophin	NM_004006.3	79	11058
DMGDH	dimethylglycine dehydrogenase	NM_013391.3	16	2601
DMKN	dermokine	NM_001126057.3	11	1197
DMP1	dentin matrix acidic phosphoprotein 1	NM_004407.4	6	1542
DMPK	DM1 protein kinase	NM_001081563.2	14	1920
DMRT1	doublesex and mab-3 related transcription factor 1	NM_021951.3	5	1122
DMRT2	doublesex and mab-3 related transcription factor 2	NM_006557.7	4	681
DMRT3	doublesex and mab-3 related transcription factor 3	NM_021240.4	2	1419
DMRTA1	DMRT like family A1	NM_022160.3	2	1515
DMRTA2	DMRT like family A2	NM_032110.3	3	1629
DMRTB1	DMRT like family B with proline rich C-terminal 1	NM_033067.3	4	1029
DMRTC1	DMRT like family C1	NM_033053.3	7	579
DMRTC1B	DMRT like family C1B	NM_001080851.2	7	579
DMRTC2	DMRT like family C2	NM_001040283.3	9	1104
DMTF1	cyclin D binding myb like transcription factor 1	NM_001142327.2	18	2283
DMTN	dematin actin binding protein	NM_001978.5	16	1218
DMWD	DM1 locus, WD repeat containing	NM_004943.2	5	2025
DMXL1	Dmx like 1	NM_005509.6	43	9084
DMXL2	Dmx like 2	NM_001174116.3	43	9114
DNA2	DNA replication helicase/nuclease 2	NM_001080449.3	21	3183
DNAAF1	dynein axonemal assembly factor 1	NM_178452.6	12	2178
DNAAF10	dynein axonemal assembly factor 10	NM_138458.4	8	1074
DNAAF11	dynein axonemal assembly factor 11	NM_012472.6	12	1401
DNAAF2	dynein axonemal assembly factor 2	NM_018139.3	3	2514
DNAAF3	dynein axonemal assembly factor 3	NM_001256714.1	12	1827
DNAAF4	dynein axonemal assembly factor 4	NM_130810.4	10	1263
DNAAF5	dynein axonemal assembly factor 5	NM_017802.4	13	2568
DNAAF6	dynein axonemal assembly factor 6	NM_001169154.2	8	645
DNAAF8	dynein axonemal assembly factor 8	NM_139170.3	10	1563
DNAAF9	dynein axonemal assembly factor 9	NM_001009984.3	37	3534
DNAH1	dynein axonemal heavy chain 1	NM_015512.5	78	12798
DNAH10	dynein axonemal heavy chain 10	NM_207437.3	78	13416
DNAH11	dynein axonemal heavy chain 11	NM_001277115.2	82	13551
DNAH12	dynein axonemal heavy chain 12	NM_001366028.2	59	9309
DNAH14	dynein axonemal heavy chain 14	NM_001367479.1	86	13854
DNAH17	dynein axonemal heavy chain 17	NM_173628.4	81	13389
DNAH2	dynein axonemal heavy chain 2	NM_020877.5	86	13284
DNAH3	dynein axonemal heavy chain 3	NM_017539.2	62	12351
DNAH5	dynein axonemal heavy chain 5	NM_001369.3	79	13875
DNAH6	dynein axonemal heavy chain 6	NM_001370.2	77	12477
DNAH7	dynein axonemal heavy chain 7	NM_018897.3	65	12075
DNAH8	dynein axonemal heavy chain 8	NM_001206927.2	93	14124
DNAH9	dynein axonemal heavy chain 9	NM_001372.4	69	13461
DNAI1	dynein axonemal intermediate chain 1	NM_012144.4	20	2100
DNAI2	dynein axonemal intermediate chain 2	NM_023036.6	14	1818
DNAI3	dynein axonemal intermediate chain 3	NM_145172.5	23	2676
DNAI4	dynein axonemal intermediate chain 4	NM_024763.5	17	2547
DNAI7	dynein axonemal intermediate chain 7	NM_001204102.3	17	2031
DNAJA1	DnaJ heat shock protein family (Hsp40) member A1	NM_001539.4	9	1194
DNAJA2	DnaJ heat shock protein family (Hsp40) member A2	NM_005880.4	9	1239
DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	NM_005147.6	12	1443
DNAJA4	DnaJ heat shock protein family (Hsp40) member A4	NM_018602.4	8	1281
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	NM_006145.3	3	1023
DNAJB11	DnaJ heat shock protein family (Hsp40) member B11	NM_016306.6	10	1077
DNAJB12	DnaJ heat shock protein family (Hsp40) member B12	NM_001002762.5	8	1128
DNAJB13	DnaJ heat shock protein family (Hsp40) member B13	NM_153614.4	8	951
DNAJB14	DnaJ heat shock protein family (Hsp40) member B14	NM_001031723.4	8	1140
DNAJB2	DnaJ heat shock protein family (Hsp40) member B2	NM_001039550.2	10	834
DNAJB4	DnaJ heat shock protein family (Hsp40) member B4	NM_001317099.2	4	1014
DNAJB5	DnaJ heat shock protein family (Hsp40) member B5	NM_001135004.3	5	1149
DNAJB6	DnaJ heat shock protein family (Hsp40) member B6	NM_058246.4	10	981
DNAJB7	DnaJ heat shock protein family (Hsp40) member B7	NM_145174.2	1	930
DNAJB8	DnaJ heat shock protein family (Hsp40) member B8	NM_153330.6	3	699
DNAJB9	DnaJ heat shock protein family (Hsp40) member B9	NM_012328.3	3	672
DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	NM_022365.4	12	1665
DNAJC10	DnaJ heat shock protein family (Hsp40) member C10	NM_018981.4	24	2382
DNAJC11	DnaJ heat shock protein family (Hsp40) member C11	NM_018198.4	16	1680
DNAJC12	DnaJ heat shock protein family (Hsp40) member C12	NM_021800.3	5	597
DNAJC13	DnaJ heat shock protein family (Hsp40) member C13	NM_015268.4	56	6732
DNAJC14	DnaJ heat shock protein family (Hsp40) member C14	NM_032364.6	7	2109
DNAJC15	DnaJ heat shock protein family (Hsp40) member C15	NM_013238.3	6	453
DNAJC16	DnaJ heat shock protein family (Hsp40) member C16	NM_015291.4	15	2349
DNAJC17	DnaJ heat shock protein family (Hsp40) member C17	NM_018163.3	11	915
DNAJC18	DnaJ heat shock protein family (Hsp40) member C18	NM_152686.4	8	1077
DNAJC19	DnaJ heat shock protein family (Hsp40) member C19	NM_145261.4	6	351
DNAJC2	DnaJ heat shock protein family (Hsp40) member C2	NM_014377.3	17	1866
DNAJC21	DnaJ heat shock protein family (Hsp40) member C21	NM_001012339.3	12	1596
DNAJC22	DnaJ heat shock protein family (Hsp40) member C22	NM_001304944.2	4	1026
DNAJC24	DnaJ heat shock protein family (Hsp40) member C24	NM_181706.5	5	450
DNAJC25	DnaJ heat shock protein family (Hsp40) member C25	NM_001015882.3	4	1083
DNAJC25-GNG10	DNAJC25-GNG10 readthrough	NM_004125.4	3	462
DNAJC27	DnaJ heat shock protein family (Hsp40) member C27	NM_016544.3	7	822
DNAJC28	DnaJ heat shock protein family (Hsp40) member C28	NM_001040192.3	2	1167
DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	NM_006260.5	12	1515
DNAJC30	DnaJ heat shock protein family (Hsp40) member C30	NM_032317.3	1	681
DNAJC4	DnaJ heat shock protein family (Hsp40) member C4	NM_001307980.1	5	750
DNAJC5	DnaJ heat shock protein family (Hsp40) member C5	NM_025219.3	5	597
DNAJC5B	DnaJ heat shock protein family (Hsp40) member C5 beta	NM_033105.6	6	600
DNAJC5G	DnaJ heat shock protein family (Hsp40) member C5 gamma	NM_001303127.2	7	570
DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	NM_001256864.2	19	2913
DNAJC7	DnaJ heat shock protein family (Hsp40) member C7	NM_003315.4	14	1485
DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	NM_014280.3	9	762
DNAJC9	DnaJ heat shock protein family (Hsp40) member C9	NM_015190.5	5	783
